20209232,张三,女,129341,2003-01-20,3,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区202房
20209233,张三,女,129341,2003-01-21,4,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区203房
20209234,张三,女,129341,2003-01-22,1,0,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区204房
20209235,张三,女,129341,2003-01-23,8,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区205房
20209236,张三,女,129341,2003-01-24,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区206房
20209237,张三,女,129341,2003-01-25,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区207房
20209238,张三,女,129341,2003-01-26,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区208房
20209239,张三,女,129341,2003-01-27,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区209房
20209240,张三,女,129341,2003-01-28,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区210房
20209241,张三,女,129341,2003-01-29,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区211房
20209242,张三,女,129341,2003-01-30,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区212房
20209243,张三,女,129341,2003-01-31,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区213房
20209244,张三,女,129341,2003-02-01,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区214房
20209245,张三,女,129341,2003-02-02,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区215房
20209246,张三,女,129341,2003-02-03,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区216房
20209247,张三,女,129341,2003-02-04,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区217房
20209248,张三,女,129341,2003-02-05,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区218房
20209249,张三,女,129341,2003-02-06,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区219房
20209250,张三,女,129341,2003-02-07,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区220房
20209251,张三,女,129341,2003-02-08,2,1,工学院,计算机系,人工智能专业,szhang@stu.edu.cn,1区221房
