1,2020-11-01 08:08:00,一,男,2002-01-01,未到,90%,工学院,hello world,人工智能专业,hello world,yi@stu.edu.cn,"199203 意识上传导论
199208 脑机接口基础"
2,2020-11-02 08:08:00,二,女,2002-01-02,在岗,100%,医学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
3,2020-11-03 08:08:00,三,男,2002-01-03,出差,100%,理学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
4,2020-11-04 08:08:00,四,女,2002-01-04,请假,100%,文学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
5,2020-11-05 08:08:00,一,男,2002-01-05,未到,100%,商学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
6,2020-11-06 08:08:00,二,女,2002-01-06,在岗,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
7,2020-11-07 08:08:00,三,男,2002-01-07,出差,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
8,2020-11-08 08:08:00,四,女,2002-01-08,在岗,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
9,2020-11-09 08:08:00,一,男,2002-01-09,出差,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
10,2020-11-10 08:08:00,二,女,2002-01-10,在岗,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
11,2020-11-11 08:08:00,三,男,2002-01-11,出差,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
12,2020-11-12 08:08:00,四,女,2002-01-12,在岗,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
13,2020-11-13 08:08:00,一,男,2002-01-13,出差,100%,农学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
14,2020-11-14 08:08:00,二,女,2002-01-14,在岗,100%,理学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
15,2020-11-15 08:08:00,三,男,2002-01-15,在岗,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
16,2020-11-16 08:08:00,四,女,2002-01-16,在岗,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
17,2020-11-17 08:08:00,一,男,2002-01-17,在岗,100%,理学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
18,2020-11-18 08:08:00,二,女,2002-01-18,在岗,100%,文学院,hello world,近代史专业,hello world,yi@stu.edu.cn,"201420 星海共同体历史
201418 从《银河混战纪元》中认知和平共处的必要性
201410 多元社会论"
19,2020-11-19 08:08:00,三,男,2002-01-19,在岗,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
20,2020-11-20 08:08:00,四,女,2002-01-20,在岗,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
21,2020-11-21 08:08:00,一,男,2002-01-21,在岗,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
22,2020-11-22 08:08:00,二,女,2002-01-22,在岗,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
23,2020-11-23 08:08:00,三,男,2002-01-23,在岗,100%,工学院,hello world,hello world,hello world,yi@stu.edu.cn,没课
